Time,Activities,Duration,Distance,Avg speed,Avg pace,Avg heart rate,Ascent,TSS®,Calories,Est. VO₂max
26/10/20-01/11/20,8,7:46'57 ,"92,03 km","11,8 km/h",05'04 /km,142 bpm,566 m,0 TSS,6 754 kcal,"58,2 "
19/10/20-25/10/20,7,7:41'36 ,"94,50 km","12,3 km/h",04'53 /km,144 bpm,729 m,0 TSS,7 016 kcal,"58,7 "
12/10/20-18/10/20,8,6:51'21 ,"78,16 km","11,4 km/h",05'15 /km,139 bpm,481 m,0 TSS,5 769 kcal,"58,0 "
05/10/20-11/10/20,5,4:32'18 ,"52,11 km","11,5 km/h",05'13 /km,122 bpm,60 m,0 TSS,4 017 kcal,"56,7 "
28/09/20-04/10/20,8,6:09'09 ,"83,70 km","13,6 km/h",04'24 /km,153 bpm,79 m,0 TSS,5 329 kcal,"56,3 "
21/09/20-27/09/20,14,6:28'51 ,"89,24 km","13,8 km/h",04'39 /km,148 bpm,251 m,0 TSS,5 407 kcal,"56,8 "
14/09/20-20/09/20,8,25:27'00 ,"125,1 km","4,9 km/h",12'12 /km,154 bpm,6 141 m,0 TSS,9 164 kcal,"56,4 "
07/09/20-13/09/20,10,29:40'01 ,"210,6 km","7,1 km/h",09'46 /km,117 bpm,7 117 m,368 TSS,13 256 kcal,"57,6 "
31/08/20-06/09/20,4,5:18'18 ,"62,62 km","11,8 km/h",05'04 /km,141 bpm,494 m,0 TSS,3 407 kcal,"56,2 "
24/08/20-30/08/20,7,20:32'32 ,"154,4 km","7,5 km/h",07'59 /km,137 bpm,5 489 m,338 TSS,11 262 kcal,"57,4 "
17/08/20-23/08/20,7,7:05'21 ,"86,51 km","12,2 km/h",04'55 /km,153 bpm,1 198 m,0 TSS,5 394 kcal,"53,8 "
10/08/20-16/08/20,9,8:49'56 ,"133,7 km","15,1 km/h",05'02 /km,139 bpm,1 070 m,0 TSS,5 650 kcal,"56,7 "
03/08/20-09/08/20,5,5:18'20 ,"72,44 km","13,7 km/h",04'23 /km,156 bpm,270 m,0 TSS,4 219 kcal,"55,7 "
27/07/20-02/08/20,9,17:38'55 ,"115,8 km","6,6 km/h",09'08 /km,131 bpm,4 678 m,0 TSS,10 347 kcal,"51,4 "
20/07/20-26/07/20,11,10:01'50 ,"123,8 km","12,3 km/h",04'59 /km,163 bpm,1 153 m,0 TSS,8 829 kcal,"53,7 "
13/07/20-19/07/20,12,10:42'38 ,"164,5 km","15,4 km/h",04'50 /km,154 bpm,628 m,0 TSS,8 633 kcal,"56,5 "
